bpm,distance,time,pace,gap,dist_week,dist_month,dist_quater,dist_year,count_week,count_month,count_quater,count_year,point_week,point_month,point_quater,point_year,puls_week,puls_month,puls_quater,puls_year,weight,temperature
155,13230,5086,384,3,15250,64520,245610,890490,1,5,17,62,0,-0.3,-0.4,-2.5,67,63,62,62,79.5,27
154,15250,6052,396,5,16000,65030,230360,875240,1,5,16,61,-2.7,0.4,-0.4,-2.5,65,63,62,62,79.5,25
157,16000,6439,402,3,9190,63200,214360,880416,1,5,15,62,-2.8,-0.3,-0.3,-2.6,63,62,61,62,79.9,28
153,9190,3831,416,16,0,54010,220830,871226,0,4,15,61,0.4,0.4,-0.1,-2.6,63,62,61,62,80,37
149,8080,3168,391,2,31760,93220,259490,917497,2,6,17,65,2.3,-0.6,-0.7,-2.6,63,62,61,62,79.1,31
155,16000,6174,385,2,29930,95880,243490,901497,2,6,16,64,-1.3,-1.1,-0.8,-2.6,63,62,61,62,79.7,26
150,15760,6144,389,4,14170,91660,227730,885737,1,6,15,63,-6.1,-1.3,-1.1,-2.7,63,62,61,61,79.2,26
162,14170,5684,401,9,0,77490,229360,871567,0,5,15,62,-0.3,-0.3,-0.7,-2.7,63,62,61,61,79.9,31
158,15550,6329,406,3,16000,88190,228810,856017,1,6,15,61,0.4,0.6,-0.6,-2.6,63,61,61,61,79.2,32
154,16000,6308,394,5,15740,72190,227810,840017,1,5,15,60,1.4,0.6,-0.8,-2.7,62,60,61,61,78.8,25
152,15740,6249,396,6,18660,56450,212070,876329,1,4,14,62,-1.9,0.4,-0.9,-2.7,60,60,61,61,78.4,26
157,18660,7453,399,2,11540,69200,193410,887336,1,5,13,63,2.6,0.8,-0.9,-2.7,60,60,61,61,78.9,30
148,11540,4640,402,7,10440,73670,181870,875796,1,5,12,62,1,-0.2,-1.1,-2.7,60,60,61,61,78.5,22
153,10440,4052,388,5,15810,63230,202000,899671,1,4,13,64,-0.1,-0.6,-1.3,-2.8,60,61,61,61,79.1,26
152,15810,6445,407,11,0,78780,201430,905114,0,5,13,64,-1.5,-1.5,-1.5,-2.8,60,61,61,62,80.1,19
152,15780,6242,395,3,31640,94040,200940,935975,2,6,13,66,-1.8,-1.9,-2,-2.9,61,61,61,62,78.8,18
156,15630,6188,395,4,16010,78410,201040,935355,1,5,13,66,-2.5,-2,-2.3,-3,60,61,61,62,78.8,22
156,16010,6513,406,9,0,62400,185030,919345,0,4,12,65,-1.9,-1.9,-2.2,-3,61,61,61,62,78.5,20
152,15660,6395,408,3,15700,62540,169370,949133,1,4,11,67,-5.1,-1.9,-2.4,-3,61,61,61,62,78.7,18
157,15700,6591,419,9,0,61840,153670,947763,0,4,10,67,-1.4,-1.4,-2.2,-3,62,61,62,62,79.4,26
153,15030,6146,408,2,16010,61810,169598,972782,1,4,11,69,-1.2,-1.6,-2.3,-3.1,61,61,62,62,79.3,17
146,16010,7131,445,11,0,45800,153588,956772,0,3,10,68,-1.7,-1.7,-2.4,-3.1,61,61,62,62,79.9,19
148,15800,6778,428,6,15000,45570,168168,981641,1,3,11,70,-3,-2.1,-3.1,-3.3,60,61,62,62,79.1,11
145,15000,6926,461,5,15000,60810,153168,976649,1,4,10,70,-1.8,-1.8,-3.1,-3.3,58,61,62,62,79.2,29
143,15000,6952,463,16,0,45810,138168,982909,0,3,9,70,-1.8,-1.8,-3.3,-3.4,62,61,62,62,79.6,13
142,15570,7258,466,5,15000,61260,160568,1003621,1,4,11,71,-1.3,-3.2,-4.2,-3.5,61,62,62,62,79.6,11
141,15000,7050,469,4,15240,46260,145568,1008078,1,3,10,71,-2.5,-3.8,-4.5,-3.6,61,62,63,62,80.2,18
144,15240,7063,463,9,0,31020,145348,1007844,0,2,10,71,-4.5,-4.5,-5.2,-3.6,63,63,63,62,80.4,19
147,15290,7049,460,7,15730,46688,130058,1015638,1,3,9,72,-4.8,-3.1,-5.3,-3.8,60,62,63,62,80.1,10
145,15730,7471,474,17,0,30958,114328,999908,0,2,8,71,-2.2,-2.2,-5.4,-3.8,63,63,63,62,79.5,9
145,15228,6990,459,5,15730,46110,114100,1029295,1,3,8,73,-1.8,-4.2,-5.6,-4.1,62,63,63,62,79.1,12
139,15730,7610,483,10,0,41810,113370,1013565,0,3,8,72,-3.9,-3.9,-5.6,-4.2,62,63,63,62,79.1,9
148,15360,7012,456,4,15020,37600,159380,1009844,1,3,11,72,-6.4,-4.1,-4.1,-4.4,63,63,63,62,77.9,7
