bpm,age,weight,temp,dist,time,gap,dist_week,train_week,dist_month,train_month,dist_h_year,train_h_year
141,15618,80.9,10,15390,8334,10,0,0,15020,1,496534,37
143,15608,77.9,5,15020,7683,31,0,0,0,0,525625,39
139,15577,77.6,14,15000,7431,4,15000,1,120410,8,629181,46
140,15573,77.9,13,15000,7181,4,30000,2,120410,8,635435,46
139,15569,77.7,14,15000,7272,2,30050,2,115690,8,649774,47
140,15567,77.5,16,15000,6994,4,31370,2,115700,8,634774,46
140,15563,77.7,16,15050,7175,3,16320,1,114250,8,644764,47
141,15560,77.2,21,16320,7682,5,15880,1,122033,9,628444,46
140,15555,77.6,15,15880,7447,3,28160,2,116183,9,612564,45
143,15552,78.1,19,13160,5812,4,30000,2,113341,9,610054,45
140,15548,78.5,22,15000,7350,3,15000,1,121414,10,625073,46
140,15545,77.9,24,15000,7393,6,10280,1,119802,10,610073,45
143,15539,77.3,27,10280,4775,2,41260,3,136225,11,631061,46
140,15537,77.2,22,15010,7437,3,37703,3,121215,10,616051,45
141,15534,77.2,28,13600,6495,2,34133,3,129516,10,602451,44
139,15532,77.2,26,12650,6069,2,21483,2,116866,9,589801,43
139,15530,76.4,28,11453,5768,3,20348,2,114072,9,599613,43
138,15527,77.2,27,10030,4797,3,21878,2,122089,9,604600,43
139,15524,75.8,19,10318,5000,3,23073,2,111771,8,594282,42
140,15521,76.9,27,11560,5955,2,24901,2,100211,7,602179,42
139,15519,78.2,23,11513,6068,4,28734,2,88698,6,590666,41
146,15515,78.1,26,13388,5889,2,26703,2,96486,7,577278,40
149,15513,77.7,31,15346,6716,4,33258,2,81140,6,576938,40
143,15509,77.1,33,11357,5390,3,21901,1,84704,6,579301,40
163,15506,77.1,33,21901,9372,6,8659,1,79007,6,566764,40
149,15500,76.4,23,8659,3670,3,18047,1,93574,8,558105,39
147,15497,76.9,21,18047,8168,10,0,0,75527,7,540058,38
159,15487,76.9,36,8191,3218,2,12985,1,67336,6,576482,40
147,15485,77.8,34,12985,5983,6,14921,1,54351,5,563497,39
151,15479,76.8,30,14921,6303,2,39430,4,39430,4,548576,38
142,15477,76.9,23,16204,7607,2,23226,3,23226,3,532372,37
145,15475,76,25,11963,5608,1,11263,2,32527,3,520409,36
143,15474,76.3,22,7238,3266,1,4025,1,25289,2,513171,35
141,15473,76.7,27,4025,1810,28,0,0,30771,2,509146,34
157,15445,79.8,28,21264,7861,2,39201,3,148034,10,521659,36
143,15443,79.9,29,9507,4681,2,50948,3,138527,9,512152,35
160,15441,80.8,25,21281,7564,3,29667,2,131876,9,490871,34
144,15438,79.7,31,8413,3756,30,32098,2,138473,9,492840,34
160,15436,79.4,26,21254,7438,4,22857,2,117219,8,471586,33
145,15432,80.4,27,10844,4945,3,23471,2,118568,8,460742,32
166,15429,79.2,31,12013,4176,2,32711,2,106555,7,448729,31
166,15427,79.6,29,11458,4015,4,36258,2,107098,7,437271,30
160,15423,80.3,27,21253,7472,3,15005,1,107099,7,426018,30
168,15420,80.2,28,15005,5245,5,17006,1,106424,7,411013,29
169,15415,81,28,17006,5949,3,29640,2,119434,8,394007,28
161,15412,80.2,27,14630,5444,4,15010,1,114837,8,379377,27
168,15408,81.6,26,15010,5314,6,12193,1,99827,7,374377,27
161,15402,81.4,21,12193,5006,4,33255,2,98284,7,367944,27
166,15398,81.3,20,12001,4288,3,35584,2,116302,8,355943,26
165,15395,81.3,15,21254,7323,4,29339,2,95048,7,342719,26
170,15391,80.9,18,14330,4870,2,30016,2,90726,7,328389,25
169,15389,81.4,17,15009,5091,3,25040,2,96977,7,313380,24
173,15386,81.5,21,15007,5257,3,10033,1,81970,6,298373,23
168,15383,82.7,25,10033,3457,12,0,0,71937,5,294100,23
164,15373,82.5,16,10650,3857,2,30019,2,97569,6,288310,23
175,15371,82.4,18,10006,3420,2,20013,1,107020,6,278304,22
173,15369,82.6,19,20013,7425,9,10008,1,87007,5,268301,22
173,15363,81.4,10,10008,3572,3,21260,1,92005,5,267793,22
171,15360,82.3,15,21260,7773,9,0,0,70745,4,252543,22
170,15351,82.6,10,21265,7888,2,15017,1,72564,5,249623,24
170,15349,81.6,15,15017,5605,8,0,0,57547,4,234606,23
170,15341,83.7,17,19457,7235,7,15006,1,67634,5,215149,22
165,15334,83,17,15006,5618,5,13720,1,67699,5,200143,21
172,15329,83.1,16,13720,5261,3,9364,1,53979,4,186423,20
172,15326,83,16,9364,3529,12,0,0,44615,3,177059,19
169,15314,82,10,15156,5786,2,29459,2,41098,3,177343,21
172,15312,81,14,14388,5772,5,15071,1,26710,2,162955,20
173,15307,82.5,16,15071,6048,21,0,0,22238,2,147884,19
177,15286,82.2,3,11639,4580,7,10599,1,32520,3,136245,18
171,15279,82.6,3,10599,4065,14,0,0,21921,2,125646,17
168,15265,83,14,11539,4473,5,10382,1,20382,2,114107,16
173,15260,82,15,10382,4308,16,0,0,20010,2,112585,16
175,15244,82,-2,10000,3818,14,0,0,23800,3,111075,16
172,15230,81.3,4,10010,3880,6,5760,1,19550,3,101065,15
169,15224,81,13,5760,2305,8,0,0,18650,3,105935,15
174,15216,81.2,11,8030,3114,13,0,0,20630,3,97905,14
169,15203,80.6,18,5760,2389,8,0,0,43625,6,113655,14
176,15195,79.4,26,4860,2103,5,10010,1,43865,6,121405,14
171,15190,80.45,22,10010,3836,5,9500,1,33855,5,111395,13
170,15185,81,24,9500,3541,3,6010,1,24355,4,101895,12
163,15182,81,24,6010,2345,5,6070,1,18345,3,95885,11
158,15177,81.4,20,6070,2297,3,12275,2,12275,2,89815,10
164,15174,80.8,18,7175,2362,3,5100,1,12800,2,82640,9
