bpm,pace,time,dist_quater,count_quater,point_quater,steps_quater,PAI_quater,puls_quater,gap,temperature
160,351,7472,304160,20,-4.8,1047409,163,63,3,27
168,349,5245,289155,19,-4.8,1033329,163,64,5,28
169,349,5949,295233,20,-5.4,1045255,160,64,3,28
161,372,5444,280603,19,-5.4,1032263,158,64,4,27
168,354,5314,265593,18,-5.5,1043520,157,64,6,26
161,410,5006,282944,19,-5.9,1029901,158,64,4,21
166,357,4288,270943,18,-6.1,1000977,156,64,3,20
165,344,7323,264760,18,-7,1010084,152,64,4,15
170,339,4870,250430,17,-7.3,1015816,146,64,2,18
169,339,5091,235421,16,-7.6,1003164,143,64,3,17
173,350,5257,220414,15,-7.7,983810,140,64,3,21
168,344,3457,210381,14,-8.2,972722,138,64,12,25
164,362,3857,211370,14,-8.7,951408,138,64,2,16
175,341,3420,201364,13,-8.8,928094,136,64,2,18
173,371,7425,191950,13,-9,930340,136,64,9,19
173,356,3572,181942,12,-9,944869,132,65,3,10
171,365,7773,160682,11,-9.3,943568,131,64,9,15
170,370,7888,150956,11,-9.5,941436,129,65,2,10
170,373,5605,146321,11,-10.3,937043,128,65,8,15
170,371,7235,126864,10,-10.7,937120,126,65,7,17
165,374,5618,121858,10,-11.5,927137,126,65,5,17
172,383,5261,108138,9,-11.6,902875,122,65,3,16
172,376,3529,98774,8,-11.9,897076,120,65,12,16
169,381,5786,99388,9,-12.2,859555,119,65,2,10
172,401,5772,85000,8,-12.1,853017,116,65,5,14
173,401,6048,69929,7,-12,821951,115,65,21,16
177,393,4580,72080,8,-11.8,759713,113,65,7,3
171,383,4065,76351,9,-12.8,760533,115,65,14,3
168,387,4473,86392,11,-11.1,782754,123,65,5,14
173,414,4308,88285,12,-9.6,767634,123,65,16,15
175,381,3818,78285,11,-9.4,746259,113,65,14,-2
172,387,3880,77985,12,-10,769367,116,64,6,4
169,399,2305,77955,12,-10.4,785719,117,64,8,13
174,387,3114,69925,11,-10.2,806492,118,64,13,11
169,414,2389,64165,10,-9.9,826710,122,64,8,18
176,432,2103,59305,9,-8.6,850854,117,64,5,26
171,382,3836,49295,8,-8.5,823870,113,64,5,22
170,372,3541,39795,7,-8.6,785539,108,64,3,24
163,389,2345,33785,6,-9.1,783485,106,64,5,24
158,378,2297,27715,5,-10.7,762688,103,64,3,20
164,331,2362,20540,4,-13.6,745691,101,64,3,18
168,402,2054,24300,4,-13.6,754419,103,64,27,24
163,423,3263,25090,4,-12.5,797025,111,64,4,26
138,574,1161,23080,3,-10.7,785018,111,64,5,30
160,466,2677,27980,3,-6.9,791537,113,64,54,28
154,464,4112,53240,4,-8.1,729889,127,63,9,31
160,407,3464,44750,3,-8.7,711829,127,63,26,25
158,401,4270,34120,2,-11.1,656378,125,62,18,25
171,415,8948,12610,1,-9.2,607195,114,63,10,16
165,407,5139,0,0,-2.6,583356,113,63,207,10
159,429,4309,58520,4,-3.9,742882,119,61,68,13
164,397,1378,106380,9,-1.4,981390,168,61,5,24
167,362,5451,91330,8,-1.1,942172,163,61,3,26
159,384,7692,71320,7,-1.1,913431,166,61,14,26
159,401,8041,54620,7,-1.5,927750,174,61,3,31
170,356,3561,44620,6,-0.8,916082,173,61,2,32
149,426,2812,38030,5,-0.6,899557,172,61,2,29
159,391,5871,23030,4,-0.1,887446,170,61,1,26
151,383,1496,19130,3,-1.1,876300,170,61,3,24
147,412,2408,13300,2,-2.5,867245,170,61,2,24
155,381,3815,3300,1,-5.5,855316,171,61,74,22
162,392,1004,0,0,-1.2,548503,126,60,172,18
161,353,3542,172250,11,0.2,808970,90,63,3,11
159,342,1857,186840,11,0.1,809728,94,63,10,14
162,358,2157,230860,13,0.4,823988,107,63,23,17
163,375,15819,363300,26,-0.3,980696,153,62,4,12
163,349,3494,371480,27,-0.7,1005754,158,62,2,16
164,371,8390,357120,27,-0.9,991079,159,62,7,16
169,348,5231,351430,27,-0.9,1017362,154,62,7,24
162,354,5149,344010,27,-1.2,996863,159,62,8,30
158,349,5398,336970,27,-1.4,988259,152,62,3,25
155,349,3496,326970,26,-1.7,989991,153,62,18,21
169,337,7104,314440,26,-1.8,912007,151,62,3,19
155,399,3998,304440,25,-1.8,946844,148,62,3,23
159,367,7350,284440,24,-2,931157,145,62,4,25
166,333,3212,274440,23,-2,948878,140,62,3,19
161,378,11346,244440,22,-2.1,915284,137,62,2,23
156,350,3512,239220,22,-2.5,911241,134,62,4,19
165,383,7681,219220,21,-2.4,901350,128,62,1,19
152,380,3840,209140,20,-2.7,888595,126,62,3,25
154,381,3625,203260,20,-2.9,893311,118,62,1,22
162,382,7666,183250,19,-2.9,872621,116,62,2,20
149,381,3624,173750,18,-3.3,859257,111,62,1,30
158,372,5589,158740,17,-3.6,841848,109,62,3,28
152,399,3995,148740,16,-3.8,823326,101,62,3,28
153,389,4653,136800,15,-3.8,807303,99,62,2,25
154,383,3900,126630,14,-4.2,787937,94,62,1,23
158,381,5888,111190,13,-4.4,772457,92,62,3,20
161,392,3930,105780,13,-3.8,752097,84,62,1,26
159,395,5938,90770,12,-3.9,732619,82,62,2,28
156,391,3139,82750,11,-4.1,716974,78,62,1,24
158,391,4014,72500,10,-4.2,704455,75,62,3,23
159,418,2930,64340,9,-3.9,684226,69,62,1,30
165,380,3815,54320,8,-3.7,674955,67,62,2,29
164,390,3203,46120,7,-3.3,667148,65,62,1,29
164,365,3409,36800,6,-3.3,654634,65,62,11,23
164,400,2845,29700,5,-2.4,650379,58,61,4,17
159,389,3106,21740,4,-2.2,652550,55,61,15,14
160,396,3465,13020,3,-1.3,711696,46,61,27,13
154,423,2035,8220,2,0.3,779501,39,61,7,7
149,437,1587,4600,1,3.5,771083,41,61,14,7
134,466,2149,0,0,3.8,748218,48,61,196,17
